STATE_ABBR,STATE_NAME,POP_DENS,PER_DEM,PER_GOP
AK,Alaska,1,0,100
AR,Arkansas,58,0,100
DC,District of Columbia,11535,0,100
ID,Idaho,21,0,100
MT,Montana,7,0,100
NE,Nebraska,25,0,100
ND,North Dakota,11,0,100
SD,South Dakota,12,0,100
WV,West Virginia,75,0,100
WY,Wyoming,6,0,100
AL,Alabama,97,14.2,85.8
KY,Kentucky,113,16.7,83.3
LA,Louisiana,108,16.7,83.3
OK,Oklahoma,57,20,80
IN,Indiana,187,22.2,77.8
TN,Tennessee,164,22.2,77.8
NC,North Carolina,214,23.1,76.9
KS,Kansas,36,25,75
MS,Mississippi,64,25,75
MO,Missouri,89,25,75
OH,Ohio,286,25,75
UT,Utah,38,25,75
SC,South Carolina,169,28.6,71.4
GA,Georgia,183,35.7,64.3
TX,Texas,110,36.1,63.9
WI,Wisconsin,107,37.5,62.5
FL,Florida,397,48.1,51.9
MI,Michigan,177,50,50
PA,Pennsylvania,287,50,50
AZ,Arizona,63,57.1,42.9
CO,Colorado,55,57.1,42.9
MN,Minnesota,71,62.5,37.5
VA,Virginia,216,63.6,36.4
WA,Washington,113,70,30
IL,Illinois,230,72.2,27.8
IA,Iowa,57,75,25
NV,Nevada,28,75,25
NY,New York,421,77.8,22.2
OR,Oregon,44,80,20
CA,California,255,86.8,13.2
MD,Maryland,626,87.5,12.5
NJ,New Jersey,1228,91.7,8.3
CT,Connecticut,741,100,0
DE,Delaware,498,100,0
HI,Hawaii,222,100,0
ME,Maine,43,100,0
MA,Massachusetts,884,100,0
NH,New Hampshire,151,100,0
NM,New Mexico,17,100,0
RI,Rhode Island,1027,100,0
VT,Vermont,68,100,0
